Pressure Alt,RPM,m20 pct BHP,m20 ktas,m20 gph,stp pct bhp,stp ktas,stp gph,p20 pct bhp,p20 ktas,p20 gph
2000,2500,nan,nan,nan,75,116,8.4,71,115,7.9
2000,2400,72,111,8,67,111,7.5,63,110,7.1
2000,2300,64,106,7.1,60,105,6.7,56,105,6.3
2000,2200,56,101,6.3,53,100,6.1,50,99,5.8
2000,2100,50,95,5.8,47,94,5.6,45,93,5.4
4000,2550,nan,nan,nan,75,118,8.4,71,118,7.9
4000,2500,76,116,8.5,71,115,8,67,115,7.5
4000,2400,68,111,7.6,64,110,7.1,60,109,6.7
4000,2300,60,105,6.8,57,105,6.4,54,104,6.1
4000,2200,54,100,6.1,51,99,5.9,48,98,5.7
4000,2100,48,94,5.6,46,93,5.5,44,92,5.3
6000,2600,nan,nan,nan,75,120,8.4,71,120,7.9
,2500,72,116,8.1,67,115,7.6,64,114,7.1
,2400,64,110,7.2,60,109,6.8,57,109,6.4
,2300,57,105,6.5,54,104,6.2,52,103,5.9
,2200,51,99,5.9,49,98,5.7,47,97,5.5
,2100,46,93,5.5,44,92,5.4,42,91,5.2
